CARRIER,DEST,DISTANCE,FL_NUM,ORIGIN,Weather,DAY_WEEK,DAY_OF_MONTH,TAIL_NUM,Flight Status,Departure_Time
OH,JFK,184,5935,BWI,0,4,1,N940CA,ontime,[14-15)
DH,JFK,213,6155,DCA,0,4,1,N405FJ,ontime,[16-17)
DH,LGA,229,7208,IAD,0,4,1,N695BR,ontime,[12-13)
DH,LGA,229,7215,IAD,0,4,1,N662BR,ontime,[17-18)
DH,LGA,229,7792,IAD,0,4,1,N698BR,ontime,[10-11)
DH,JFK,228,7800,IAD,0,4,1,N687BR,ontime,[8-9)
DH,JFK,228,7806,IAD,0,4,1,N321UE,ontime,[12-13)
DH,JFK,228,7810,IAD,0,4,1,N301UE,ontime,[16-17)
DH,JFK,228,7812,IAD,0,4,1,N328UE,ontime,[17-18)
DH,JFK,228,7814,IAD,0,4,1,N685BR,ontime,[21-22)
DH,LGA,229,7924,IAD,0,4,1,N645BR,ontime,[21-22)
DL,JFK,213,746,DCA,0,4,1,N918DE,ontime,[14-15)
DL,LGA,214,1746,DCA,0,4,1,N242DL,ontime,[9-10)
DL,LGA,214,1752,DCA,0,4,1,N241DL,ontime,[12-13)
DL,LGA,214,1756,DCA,0,4,1,N242DL,ontime,[14-15)
DL,LGA,214,1762,DCA,0,4,1,N241DL,ontime,[17-18)
DL,LGA,214,1768,DCA,0,4,1,N242DL,ontime,[20-21)
MQ,JFK,213,4752,DCA,0,4,1,N709MQ,ontime,[15-16)
MQ,JFK,213,4760,DCA,0,4,1,N717MQ,ontime,[5-6)
MQ,JFK,213,4784,DCA,0,4,1,N707MQ,ontime,[18-19)
MQ,LGA,214,4956,DCA,0,4,1,N737MQ,ontime,[8-9)
MQ,LGA,214,4964,DCA,0,4,1,N717MQ,ontime,[12-13)
MQ,LGA,214,4966,DCA,0,4,1,N726MQ,ontime,[13-14)
MQ,LGA,214,4968,DCA,0,4,1,N724MQ,ontime,[14-15)
MQ,LGA,214,4976,DCA,0,4,1,N724MQ,ontime,[18-19)
UA,LGA,229,846,IAD,0,4,1,N513UA,ontime,[8-9)
US,LGA,214,2164,DCA,0,4,1,N709UW,ontime,[8-9)
US,LGA,214,2168,DCA,0,4,1,N748UW,ontime,[10-11)
US,LGA,214,2172,DCA,0,4,1,N709UW,ontime,[12-13)
US,LGA,214,2176,DCA,0,4,1,N748UW,ontime,[14-15)
US,LGA,214,2180,DCA,0,4,1,N709UW,ontime,[16-17)
US,LGA,214,2188,DCA,0,4,1,N709UW,ontime,[20-21)
RU,EWR,169,2403,BWI,0,4,1,N14916,ontime,[14-15)
RU,EWR,169,2675,BWI,0,4,1,N16954,ontime,[17-18)
RU,EWR,169,2303,BWI,0,4,1,N26549,ontime,[10-11)
RU,EWR,169,2703,BWI,0,4,1,N16954,ontime,[6-7)
CO,EWR,199,808,DCA,0,4,1,N18611,ontime,[12-13)
CO,EWR,199,814,DCA,0,4,1,N19357,ontime,[17-18)
DH,EWR,213,7299,IAD,0,4,1,N691BR,ontime,[8-9)
DH,EWR,213,7302,IAD,0,4,1,N691BR,ontime,[17-18)
DH,EWR,213,7303,IAD,0,4,1,N697BR,ontime,[12-13)
DH,EWR,213,7304,IAD,0,4,1,N699BR,ontime,[21-22)
RU,EWR,213,2497,IAD,0,4,1,N12540,ontime,[16-17)
RU,EWR,213,2385,IAD,0,4,1,N16149,ontime,[18-19)
RU,EWR,199,2261,DCA,0,4,1,N12564,ontime,[15-16)
RU,EWR,199,2336,DCA,0,4,1,N21537,ontime,[18-19)
RU,EWR,199,2216,DCA,0,4,1,N15983,ontime,[13-14)
RU,EWR,213,2156,IAD,0,4,1,N16149,ontime,[15-16)
RU,EWR,213,2664,IAD,0,4,1,N12519,ontime,[12-13)
RU,EWR,199,2181,DCA,0,4,1,N19966,ontime,[16-17)
OH,JFK,184,5935,BWI,0,5,2,N995CA,ontime,[14-15)
DH,JFK,213,6155,DCA,0,5,2,N415FJ,ontime,[16-17)
DH,LGA,229,7208,IAD,0,5,2,N688BR,ontime,[12-13)
DH,LGA,229,7211,IAD,0,5,2,N665BR,delayed,[15-16)
DH,LGA,229,7215,IAD,0,5,2,N639BR,ontime,[17-18)
DH,LGA,229,7790,IAD,0,5,2,N686BR,ontime,[6-7)
DH,LGA,229,7792,IAD,0,5,2,N665BR,delayed,[12-13)
DH,JFK,228,7800,IAD,0,5,2,N645BR,ontime,[8-9)
DH,JFK,228,7806,IAD,0,5,2,N332UE,ontime,[12-13)
