IsMale,Height
0,67
0,67
0,67
0,60
0,68
0,64
0,69
0,71
0,67
0,67
0,66
0,63
0,67
0,62
0,66
0,70
0,67
0,61
0,68
0,67
0,68
0,64
0,69
0,67
0,70
0,72
0,61
0,67
0,69
0,68
0,69
0,72
0,66
0,67
0,66
0,67
0,69
0,64
0,64
0,63
0,68
0,66
0,65
0,60
0,70
0,65
0,68
0,66
0,61
0,65
1,72
1,74
1,75
1,71
1,71
1,68
1,75
1,75
1,74
1,70
1,74
1,74
1,79
1,72
1,72
1,75
1,72
1,76
1,76
1,74
1,73
1,72
1,65
1,71
1,74
1,69
1,73
1,69
1,71
1,67
1,74
1,70
1,70
1,70
1,74
1,74
1,74
1,70
1,74
1,73
1,69
1,72
1,69
1,74
1,71
1,72
1,74
1,75
1,77
1,72
